,question,qtype,qtype_coarse,qtype_fine
758,"What percent liked Thatcher after she had been in power for a decade ?
",NUM:perc,NUM,perc
759,"Where does Buzz Aldrin want to build a permanent , manned space station ?
",LOC:other,LOC,other
760,"What was Mel Gibson 's first movie ?
",ENTY:cremat,ENTY,cremat
761,"Why was the L.A. office of Shea and Gould closed ?
",DESC:reason,DESC,reason
762,"How do I start a bank ?
",DESC:manner,DESC,manner
763,"How do Ouija Boards work ?
",DESC:manner,DESC,manner
764,"What horse did Zorro ride ?
",ENTY:animal,ENTY,animal
765,"How do you get a broken cork out of a bottle ?
",DESC:manner,DESC,manner
766,"Where can I find correct tabs for Third Eye Blind songs ?
",LOC:other,LOC,other
767,"How do you determine heating requirements for your home ?
",DESC:manner,DESC,manner
768,"What former major-league left-handed baseball pitcher was known as `` Space Man '' ?
",HUM:ind,HUM,ind
769,"Which hair care product told us `` hate that gray , wash it away '' ?
",ENTY:product,ENTY,product
770,"Why did the chicken cross the road ?
",DESC:reason,DESC,reason
771,"What was Michelangelo 's last name ?
",HUM:ind,HUM,ind
772,"Who is Barbara Jordan ?
",HUM:desc,HUM,desc
773,"Who was the Democratic nominee in the American presidential election ?
",HUM:ind,HUM,ind
774,"What was Connecticut 's first constitution called ?
",ENTY:cremat,ENTY,cremat
775,"What historical event happened in Dogtown in 1899 ?
",ENTY:event,ENTY,event
776,"What is being done about the millennium bug ?
",DESC:def,DESC,def
777,"What was the claim to fame of King Camp Gillette ?
",DESC:reason,DESC,reason
778,"What is the most common kind of skin cancer in the U.S. ?
",ENTY:dismed,ENTY,dismed
779,"What is Olestra ?
",DESC:def,DESC,def
780,"What Asian country has a bill of rights for cows ?
",LOC:country,LOC,country
781,"How many fingers are used to draw a bow ?
",NUM:count,NUM,count
782,"What are two plants that clothes are made from ?
",ENTY:plant,ENTY,plant
783,"When was Hurricane Hugo ?
",NUM:date,NUM,date
784,"What is the most heavily caffeinated soft drink ?
",ENTY:food,ENTY,food
785,"What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?
",HUM:ind,HUM,ind
786,"What was the price of Varian Associates ' vacuum products division ?
",NUM:money,NUM,money
787,"When was `` the Great Depression '' ?
",NUM:date,NUM,date
788,"What language is mostly spoken in Brazil ?
",ENTY:lang,ENTY,lang
789,"What college produced the most winning Super Bowl quarterbacks ?
",HUM:gr,HUM,gr
790,"How do you solve `` Rubik 's Cube '' ?
",DESC:manner,DESC,manner
791,"What is prepared mustard ?
",DESC:def,DESC,def
792,"What classical Spanish writer warned : `` All that glitters is not gold '' ?
",HUM:ind,HUM,ind
793,"What does `` antidisestablishmentarianism '' mean ?
",DESC:def,DESC,def
794,"What actor married John F. Kennedy 's sister ?
",HUM:ind,HUM,ind
795,"What does a topophobic actor suffer from ?
",ENTY:dismed,ENTY,dismed
796,"Who fired Maria Ybarra from her position in San Diego council ?
",HUM:ind,HUM,ind
797,"The italian artist , Maurizio Pellegrin , is how old ?
",NUM:period,NUM,period
798,"What type of hunting are retrievers used for ?
",ENTY:other,ENTY,other
799,"What is Colin Powell best known for ?
",DESC:reason,DESC,reason
800,"Who was the first black golfer to tee off in the Masters ?
",HUM:ind,HUM,ind
801,"What city is the setting for Puccini 's opera La Boheme ?
",LOC:city,LOC,city
802,"What U.S. President showed a fondness for munching on bee pollen bars ?
",HUM:ind,HUM,ind
803,"What is measured in curies ?
",DESC:def,DESC,def
804,"Whose cover is that of an employee of Universal Import and Export ?
",HUM:ind,HUM,ind
805,"What former president 's daughter has written a book titled Murder in the White House ?
",HUM:ind,HUM,ind
806,"What fictional character is known as the `` melancholy Dane '' ?
",HUM:ind,HUM,ind
807,"Italy is the largest producer of what ?
",ENTY:product,ENTY,product
808,"What longtime game show host dropped dead while jogging in Central Park in 1984 ?
",HUM:ind,HUM,ind
809,"What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''
",DESC:def,DESC,def
810,"Who were the `` filthiest people alive ? ''
",HUM:ind,HUM,ind
811,"What infectious disease is the world 's deadliest ?
",ENTY:dismed,ENTY,dismed
812,"What is Spumante ?
",DESC:def,DESC,def
813,"In what year did Ireland elect its first woman president ?
",NUM:date,NUM,date
814,"What is an isthmus ?
",DESC:def,DESC,def
815,"What was the name of the orca that died of a fungal infection ?
",ENTY:animal,ENTY,animal
816,"Where is Mozambique located ?
",LOC:other,LOC,other
817,"What is Mississippi 's state animal ?
",ENTY:animal,ENTY,animal
818,"What 's the origin of the word ` news ' ?
",DESC:desc,DESC,desc
819,"What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?
",ENTY:other,ENTY,other
820,"How many months does a normal human pregnancy last ?
",NUM:count,NUM,count
821,"How do fuel injectors work ?
",DESC:manner,DESC,manner
822,"How can your school march in the Macy 's Thanksgiving Parade ?
",DESC:manner,DESC,manner
823,"What is the real name of disc jockey `` Wolfman Jack '' ?
",HUM:ind,HUM,ind
824,"What Italian liner was hijacked in 1985 ?
",ENTY:veh,ENTY,veh
825,"What city houses the U.S. headquarters of Procter and Gamble ?
",LOC:city,LOC,city
826,"What soap was touted as being `` for people who like people '' ?
",ENTY:product,ENTY,product
827,"How much was the minimum wage in 1991 ?
",NUM:money,NUM,money
828,"What does NAFTA stand for ?
",ABBR:exp,ABBR,exp
829,"Who invented silly putty ?
",HUM:ind,HUM,ind
830,"What new middle school was built in Philadelphia , Pennsylvania last year ?
",HUM:gr,HUM,gr
831,"Who patented the first phonograph ?
",HUM:ind,HUM,ind
832,"What are some tips for building a fire in a fireplace ?
",ENTY:techmeth,ENTY,techmeth
833,"What do manatees eat ?
",ENTY:food,ENTY,food
834,"How do you say 2 in Latin ?
",ENTY:termeq,ENTY,termeq
835,"What were popular songs and types of songs in the 1920s ?
",ENTY:cremat,ENTY,cremat
836,"How many Vietnamese were there in the Soviet Union ?
",NUM:count,NUM,count
837,"What is November 's birthstone ?
",ENTY:other,ENTY,other
838,"What is a Certified Nurse Midwife ?
",DESC:def,DESC,def
839,"On average , how many miles are there to the moon ?
",NUM:count,NUM,count
840,"Who created private detective Philip Marlowe ?
",HUM:ind,HUM,ind
841,"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?
",ENTY:cremat,ENTY,cremat
842,"What is the origin of the expression `` tout de suite '' ?
",DESC:desc,DESC,desc
843,"What is the longest English word ?
",ENTY:word,ENTY,word
844,"What is the purpose of a car bra ?
",DESC:reason,DESC,reason
845,"What is D.B. Cooper known for ?
",DESC:reason,DESC,reason
846,"Who is Colin Powell ?
",HUM:desc,HUM,desc
847,"What species is a colt ?
",ENTY:animal,ENTY,animal
848,"What is the full name of the PLO ?
",ABBR:exp,ABBR,exp
849,"What is the smallest country in Africa ?
",LOC:country,LOC,country
850,"Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?
",HUM:ind,HUM,ind
851,"What age followed the Bronze Age ?
",ENTY:event,ENTY,event
852,"What is her profession ?
",HUM:title,HUM,title
853,"What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?
",HUM:ind,HUM,ind
854,"What does the word LASER mean ?
",ABBR:exp,ABBR,exp
855,"What does the name `` Anthony '' mean ?
",DESC:def,DESC,def
856,"Who was Lauren Bacall 's first husband ?
",HUM:ind,HUM,ind
857,"What is a rhomboideus minor ?
",DESC:def,DESC,def
858,"How many hands does Bjorn Borg use when hitting his forehand ?
",NUM:count,NUM,count
859,"How many people died on D-Day ?
",NUM:count,NUM,count
860,"What U.S. Congressman said : `` Keep the faith , baby '' .
",HUM:ind,HUM,ind
861,"Who created the character of Scrooge ?
",HUM:ind,HUM,ind
862,"What is the student population at the University of Massachusetts in Amherst ?
",NUM:other,NUM,other
863,"Where is Windsor Castle ?
",LOC:other,LOC,other
864,"When did the Dow first reach ?
",NUM:date,NUM,date
865,"Why were people recruited for the Vietnam War ?
",DESC:reason,DESC,reason
866,"What party was Winston Churchill a member of ?
",HUM:gr,HUM,gr
867,"What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
",HUM:gr,HUM,gr
868,"Where can I find the names of all the 15 Pokemon ?
",LOC:other,LOC,other
869,"What state does Martha Stewart live in ?
",LOC:state,LOC,state
870,"Which killer whale died at Sea World of a fungal infection ?
",ENTY:animal,ENTY,animal
871,"What are the Benelux countries ?
",LOC:country,LOC,country
872,"Where 's the Petrified Forest ?
",LOC:other,LOC,other
873,"What is a language spoken by the Sioux ?
",ENTY:lang,ENTY,lang
874,"Where is Tornado Alley ?
",LOC:other,LOC,other
875,"Who was the author of `` John Brown 's Body '' ?
",HUM:ind,HUM,ind
876,"What American poet wrote : `` Good fences make good neighbors '' ?
",HUM:ind,HUM,ind
877,"What state in the U.S. has the most blacks ?
",LOC:state,LOC,state
878,"Why are electric cars less efficient in the northeast than in California ?
",DESC:reason,DESC,reason
879,"What was the occupation of Mandy Rice-Davies ?
",HUM:title,HUM,title
880,"What is the city in which Maurizio Pellegrin lives called ?
",LOC:city,LOC,city
881,"Who painted the Sistine Chapel ?
",HUM:ind,HUM,ind
882,"Name the various costumed personas of Dr. Henry Pym .
",HUM:ind,HUM,ind
883,"What breed of dog was the `` Little Rascals '' dog ?
",ENTY:animal,ENTY,animal
884,"What are the living conditions in Cuba ?
",DESC:desc,DESC,desc
885,"What color are school buses ?
",ENTY:color,ENTY,color
886,"What is the oldest website on the Internet ?
",LOC:other,LOC,other
887,"What events happened January 26 , 1978 ?
",ENTY:event,ENTY,event
888,"What explorers followed Columbus to the Americas ?
",HUM:ind,HUM,ind
889,"Who is actress Goldie Hawn 's current actor boyfriend ?
",HUM:ind,HUM,ind
890,"Who banned Peter Rose from baseball for betting on games ?
",HUM:ind,HUM,ind
891,"What are the seven virtues ?
",DESC:def,DESC,def
892,"What other name were the `` Little Rascals '' known as ?
",ENTY:termeq,ENTY,termeq
893,"When was the San Francisco fire ?
",NUM:date,NUM,date
894,"What is a fear of food ?
",ENTY:dismed,ENTY,dismed
895,"How many casinos are in Atlantic City , NJ ?
",NUM:count,NUM,count
896,"What year did the Vietnam War end ?
",NUM:date,NUM,date
897,"What are the names of Richard Nixon 's two daughters ?
",HUM:ind,HUM,ind
898,"What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
",ENTY:word,ENTY,word
899,"What is the chromosome number of an elephant ?
",NUM:count,NUM,count
900,"What organization was founded by the Rev. Jerry Falwell ?
",HUM:gr,HUM,gr
901,"What 's the longest river in the world ?
",LOC:other,LOC,other
902,"Which soft drink does Madonna advertise for ?
",ENTY:food,ENTY,food
903,"What company is being bought by Yahoo and how much is the deal worth ?
",HUM:gr,HUM,gr
904,"When was Berlin 's Brandenburg gate erected ?
",NUM:date,NUM,date
905,"How many double-word-score spaces are there on a Scrabble Crossword Game board ?
",NUM:count,NUM,count
906,"What year did Germany sign its nonaggression pact with the Soviet Union ?
",NUM:date,NUM,date
907,"What mountain range is traversed by the highest railroad in the world ?
",LOC:mount,LOC,mount
908,"Why were the American soldiers in WWI called `` Doughboys ''
",DESC:reason,DESC,reason
909,"Who was nicknamed The Little Corporal ?
",HUM:ind,HUM,ind
910,"How many CDs has Garth Brooks sold ?
",NUM:count,NUM,count
911,"Name the vessel used by the Atari Force in the DC comics .
",ENTY:veh,ENTY,veh
912,"Where are the leading medical groups specializing in lung diseases ?
",LOC:other,LOC,other
913,"How can I find online spelling , and punctuation drills for my 6th grader ?
",DESC:manner,DESC,manner
914,"What 's the sacred river of India ?
",LOC:other,LOC,other
915,"What is Stefan Edberg 's native country ?
",LOC:country,LOC,country
916,"What is the only gland in humans that can regenerate itself ?
",ENTY:body,ENTY,body
917,"How many Gutenberg Bibles are there ?
",NUM:count,NUM,count
918,"Name the largest country in South America .
",LOC:country,LOC,country
919,"What astronomical phenomenon takes place in Jan. 1999 ?
",ENTY:event,ENTY,event
920,"What information can you get me on Fairground Park in St. Louis
",DESC:desc,DESC,desc
921,"What was American folk hero John Chapman 's nickname ?
",HUM:ind,HUM,ind
922,"What is the difference between a median and a mean ?
",DESC:desc,DESC,desc
923,"What was the top box office movie in April 1998 ?
",ENTY:cremat,ENTY,cremat
924,"What makes thunder ?
",DESC:reason,DESC,reason
925,"What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?
",HUM:ind,HUM,ind
926,"Which is the largest clock , diameter wise , in Europe ?
",ENTY:other,ENTY,other
927,"What plant is rum made from ?
",ENTY:plant,ENTY,plant
928,"What country are Godiva chocolates from ?
",LOC:country,LOC,country
929,"Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?
",HUM:ind,HUM,ind
930,"Which condiment was once sold as a patent medicine ?
",ENTY:food,ENTY,food
931,"What U.S. state records the least rainfall ?
",LOC:state,LOC,state
932,"Why did the world enter a global depression in 1929 ?
",DESC:reason,DESC,reason
933,"What was archy , and mehitabel ?
",DESC:def,DESC,def
934,"What Texas city got its name from the Spanish for `` yellow '' ?
",LOC:city,LOC,city
935,"What are the chemicals used in glowsticks ?
",ENTY:substance,ENTY,substance
936,"What country did the Nile River originate in ?
",LOC:country,LOC,country
937,"What color are tennis balls ?
",ENTY:color,ENTY,color
938,"What barroom judge called himself The Law West of the Pecos ?
",HUM:ind,HUM,ind
939,"What excuse did the NATO people give for hitting the Chinese embassy ?
",DESC:desc,DESC,desc
940,"Who was President of Costa Rica in 1994 ?
",HUM:ind,HUM,ind
941,"What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?
",ENTY:sport,ENTY,sport
942,"What country has the best defensive position in the board game Diplomacy ?
",LOC:country,LOC,country
943,"What two countries share the Khyber Pass ?
",LOC:country,LOC,country
944,"Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?
",HUM:ind,HUM,ind
945,"What is the origin of the surname of Braun ?
",DESC:desc,DESC,desc
946,"What card game has variations called Canfield , Klondike and Spider ?
",ENTY:sport,ENTY,sport
947,"What is Australia Day ?
",DESC:def,DESC,def
948,"What mammal of North America is the world 's longest-lived for its size ?
",ENTY:animal,ENTY,animal
949,"What was the Chivington Massacre ?
",DESC:def,DESC,def
950,"What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?
",HUM:ind,HUM,ind
951,"How many home runs did Lou Gehrig have during his career ?
",NUM:count,NUM,count
952,"In what city is the headquarters of Sinn Fein ?
",LOC:city,LOC,city
953,"Where can I find information on George Bush ?
",LOC:other,LOC,other
954,"Who is the voice of Miss Piggy ?
",HUM:ind,HUM,ind
955,"What is the dialogue circle in cartoons called ?
",ENTY:termeq,ENTY,termeq
956,"What does the word camaro mean , from the GM car the Camaro ?
",DESC:def,DESC,def
957,"Who replaced Bert Parks as the host of The Miss America Pageant ?
",HUM:ind,HUM,ind
958,"How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?
",NUM:count,NUM,count
959,"What is the AIM-54C Phoenix ?
",DESC:def,DESC,def
960,"When are sheep shorn ?
",NUM:date,NUM,date
961,"What sport is Chris Jogis a top player of ?
",ENTY:sport,ENTY,sport
962,"What 's the second-largest island in the world ?
",LOC:other,LOC,other
963,"What is the definition of low island ?
",DESC:def,DESC,def
964,"What century does Captain Video live in ?
",NUM:date,NUM,date
965,"What types of water pollution are there ?
",ENTY:other,ENTY,other
966,"How many astronauts manned each Project Mercury flight ?
",NUM:count,NUM,count
967,"What soft drink would provide me with the biggest intake of caffeine ?
",ENTY:food,ENTY,food
968,"What 's the name of a golf course in Myrtle Beach ?
",ENTY:other,ENTY,other
969,"What are some of the significant historical events of the 1990s ?
",ENTY:event,ENTY,event
970,"Name the only extant trilogy of classical Greek plays .
",ENTY:cremat,ENTY,cremat
971,"Where is Logan Airport ?
",LOC:other,LOC,other
972,"What is the difference between Neoclassical art and Romanticism art ?
",DESC:desc,DESC,desc
973,"Who was the first person inducted into the U.S. Swimming Hall of Fame ?
",HUM:ind,HUM,ind
974,"What golfer has been called Ohio Fats and Blobbo ?
",HUM:ind,HUM,ind
975,"Who murdered Leno and Rosemary LaBianca on August 1
",HUM:ind,HUM,ind
976,"What is the average cost for four years of medical school ?
",NUM:money,NUM,money
977,"What does God create in the first sentence of the Bible ?
",ENTY:other,ENTY,other
978,"Which of the following men was not married to Rita Hayworth ?
",HUM:ind,HUM,ind
979,"What is the current ticket fare from from Cairo to Barbados ?
",NUM:money,NUM,money
980,"What does NN O `` mean when used as a prefix in Irish surnames ?
",ABBR:exp,ABBR,exp
981,"How do you find oxidation numbers ?
",DESC:manner,DESC,manner
982,"What is the state nickname of Mississippi ?
",LOC:state,LOC,state
983,"What is Black Hills , South Dakota most famous for ?
",DESC:reason,DESC,reason
984,"What 1966 boob tube bomb took astronauts back to prehistoric times ?
",ENTY:cremat,ENTY,cremat
985,"How many students attend the University of Massachusetts ?
",NUM:count,NUM,count
986,"Who said , `` I shall return . '' during World War Two ?
",HUM:ind,HUM,ind
987,"What holidays are celebrated in Ireland ?
",ENTY:event,ENTY,event
988,"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?
",HUM:ind,HUM,ind
989,"What are the Greek numerals ?
",DESC:def,DESC,def
990,"What 's the name of the temple that is located near the capital city of Laos ?
",LOC:other,LOC,other
991,"What is a fear of sleep ?
",ENTY:dismed,ENTY,dismed
992,"What auto race was Wilbur Reed the first to win three times ?
",ENTY:sport,ENTY,sport
993,"What are the most common breeding birds in the U.S. ?
",ENTY:animal,ENTY,animal
994,"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?
",ENTY:event,ENTY,event
995,"How do you look up criminal records on the Internet ?
",DESC:manner,DESC,manner
996,"Where is the actress , Marion Davies , buried ?
",LOC:other,LOC,other
997,"What is an example of an actual case of using the Fourteenth Amendment ?
",DESC:desc,DESC,desc
998,"Who was the Charlie perfume woman ?
",HUM:ind,HUM,ind
999,"Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?
",HUM:ind,HUM,ind
